,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
1480,2022.0,2.0,REL,57.07,,,3.666666666666666,11.0
1481,2022.0,,REL,80.1,1.0,12.0,3.6666666666666665,12.0
1482,2022.0,2.0,RUSS,3.0,1.0,13.0,4.0,13.0
1483,2022.0,2.0,RUSS,38.1,,31.0,3.333333333333333,31.0
1484,2022.0,2.0,RUSS,38.18,1.0,25.0,4.0,25.0
1485,2022.0,2.0,,38.19,1.0,12.0,,12.0
1486,2022.0,2.0,RUSS,50.03,1.0,21.0,3.6666666666666665,21.0
1487,2022.0,2.0,SART,15.0,3.0,43.0,,14.333333333333334
1488,2022.0,2.0,SART,16.0,,,4.0,10.0
1489,2022.0,2.0,SART,25.0,1.0,12.0,4.0,
1490,2022.0,,SART,29.0,1.0,,4.0,
1491,2022.0,2.0,SART,30.0,1.0,11.0,4.0,11.0
1492,2022.0,2.0,SART,,,11.0,4.0,11.0
1493,2022.0,2.0,SART,,1.0,11.0,4.0,11.0
1494,2022.0,,SART,17.2,,11.0,4.0,11.0
1495,2022.0,2.0,SOCY,1.0,1.0,,4.0,49.0
1496,2022.0,2.0,SOCY,10.0,1.0,32.0,3.333333333333333,32.0
1497,2022.0,2.0,SOCY,11.0,,26.0,4.0,26.0
1498,2022.0,2.0,SOCY,38.0,,29.0,4.0,29.0
1499,2022.0,2.0,SOCY,42.0,1.0,19.0,4.0,19.0
1500,2022.0,2.0,SOCY,48.0,1.0,21.0,3.333333333333333,21.0
1501,,,SOCY,69.0,,19.0,4.0,19.0
1502,,,SOCY,72.0,1.0,19.0,4.0,19.0
1503,2022.0,2.0,,91.0,1.0,17.0,,17.0
1504,2022.0,,SOCY,49.26,1.0,30.0,3.6666666666666665,30.0
1505,2022.0,2.0,SOCY,49.27,1.0,19.0,4.0,19.0
1506,2022.0,,SPAN,1.0,2.0,58.0,4.0,29.0
1507,2022.0,,SPAN,2.0,4.0,160.0,3.6666666666666665,40.0
1508,2022.0,2.0,,3.0,,721.0,3.6666666666666656,103.0
1509,2022.0,2.0,SPAN,9.0,2.0,54.0,,27.0
1510,2022.0,2.0,SPAN,20.0,2.0,38.0,4.0,19.0
1511,2022.0,2.0,SPAN,23.0,1.0,11.0,4.0,11.0
1512,2022.0,,SPAN,33.0,1.0,11.0,4.0,11.0
1513,2022.0,,SPAN,35.0,1.0,11.0,,11.0
1514,2022.0,,SPAN,7.08,1.0,,4.0,16.0
1515,2022.0,2.0,SPAN,40.07,,11.0,4.0,11.0
1516,2022.0,2.0,SPAN,55.04,1.0,,4.0,12.0
1517,2022.0,2.0,SPAN,73.04,1.0,14.0,4.0,14.0
1518,2022.0,2.0,SPAN,80.23,1.0,11.0,4.0,11.0
1519,2022.0,2.0,SPEE,,1.0,,4.0,15.0
1520,2022.0,,SPEE,20.01,1.0,13.0,4.0,13.0
1521,2022.0,2.0,SPEE,20.03,1.0,12.0,4.0,12.0
1522,2022.0,2.0,THEA,17.0,,16.0,4.0,16.0
1523,2022.0,2.0,THEA,27.0,1.0,14.0,4.0,14.0
1524,2022.0,2.0,,,2.0,29.0,3.586206896551724,
1525,2022.0,2.0,THEA,36.0,1.0,12.0,4.0,
1526,2022.0,2.0,THEA,40.0,1.0,15.0,4.0,15.0
